Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 3/7/2025)
SEASON,CHARACTERISTIC,GROUP,COUNT,PERCENT
2022-23,AgeGroup,6-23 mo,31,16.6
2022-23,AgeGroup,2-4 yr,43,23
2022-23,AgeGroup,5-11 yr,65,34.8
2022-23,AgeGroup,12-17 yr,38,20.3
2022-23,Sex,Male,103,55.1
2022-23,Sex,Female,84,44.9
2022-23,Conditions,Yes       ,81,46.6
2022-23,Conditions,No        ,93,53.4
2022-23,Bacterial Coinfectio,Yes       ,36,51.4
2022-23,Bacterial Coinfectio,No        ,34,48.6
2022-23,OnsetToDeath,0,14,9.4
2022-23,OnsetToDeath,1,15,10.1
2022-23,OnsetToDeath,2,16,10.7
2022-23,OnsetToDeath,3,16,10.7
2022-23,OnsetToDeath,4,14,9.4
2022-23,OnsetToDeath,5,10,6.7
2022-23,OnsetToDeath,6,6,4
2022-23,OnsetToDeath,7,12,8.1
2022-23,OnsetToDeath,8,5,3.4
2022-23,OnsetToDeath,9,4,2.7
2022-23,OnsetToDeath,11,1,0.7
2022-23,OnsetToDeath,12,3,2
2022-23,OnsetToDeath,13,1,0.7
2022-23,OnsetToDeath,14,2,1.3
2022-23,OnsetToDeath,15,1,0.7
2022-23,OnsetToDeath,16,1,0.7
2022-23,OnsetToDeath,17,3,2
2022-23,OnsetToDeath,18,3,2
2022-23,OnsetToDeath,19,1,0.7
2022-23,OnsetToDeath,21,3,2
2022-23,OnsetToDeath,22,3,2
2022-23,OnsetToDeath,23,1,0.7
2022-23,OnsetToDeath,26,1,0.7
2022-23,OnsetToDeath,27,3,2
2022-23,OnsetToDeath,30+,10,6.7
2022-23,Location of Death,Outside Hospital,35,19
2022-23,Location of Death,Emergency Department,61,33.2
2022-23,Location of Death,Hospital Admitted,88,47.8
2023-24,AgeGroup,0-5 mo,9,4.3
2023-24,AgeGroup,6-23 mo,29,14
2023-24,AgeGroup,2-4 yr,38,18.4
2023-24,AgeGroup,5-11 yr,87,42
2023-24,AgeGroup,12-17 yr,44,21.3
2023-24,Sex,Male,94,45.4
2023-24,Sex,Female,113,54.6
2023-24,Conditions,Yes       ,96,49
2023-24,Conditions,No        ,100,51
2023-24,Bacterial Coinfectio,Yes       ,47,48
2023-24,Bacterial Coinfectio,No        ,51,52
2023-24,OnsetToDeath,0,9,5.3
2023-24,OnsetToDeath,1,10,5.9
2023-24,OnsetToDeath,2,11,6.5
2023-24,OnsetToDeath,3,15,8.9
2023-24,OnsetToDeath,4,12,7.1
2023-24,OnsetToDeath,5,17,10.1
2023-24,OnsetToDeath,6,14,8.3
2023-24,OnsetToDeath,7,12,7.1
2023-24,OnsetToDeath,8,7,4.1
2023-24,OnsetToDeath,9,6,3.6
2023-24,OnsetToDeath,10,2,1.2
2023-24,OnsetToDeath,11,2,1.2
2023-24,OnsetToDeath,12,4,2.4
2023-24,OnsetToDeath,13,1,0.6
2023-24,OnsetToDeath,14,4,2.4
2023-24,OnsetToDeath,15,4,2.4
2023-24,OnsetToDeath,16,2,1.2
2023-24,OnsetToDeath,17,1,0.6
2023-24,OnsetToDeath,18,3,1.8
2023-24,OnsetToDeath,19,3,1.8
2023-24,OnsetToDeath,22,1,0.6
2023-24,OnsetToDeath,24,1,0.6
2023-24,OnsetToDeath,25,3,1.8
2023-24,OnsetToDeath,27,2,1.2
2023-24,OnsetToDeath,29,2,1.2
2023-24,OnsetToDeath,30+,21,12.4
2023-24,Location of Death,Outside Hospital,33,15.9
2023-24,Location of Death,Emergency Department,60,29
2023-24,Location of Death,Hospital Admitted,114,55.1
2024-25,AgeGroup,0-5 mo,5,5.1
2024-25,AgeGroup,6-23 mo,18,18.4
2024-25,AgeGroup,2-4 yr,19,19.4
2024-25,AgeGroup,5-11 yr,32,32.7
2024-25,AgeGroup,12-17 yr,24,24.5
2024-25,Sex,Male,44,45.4
2024-25,Sex,Female,53,54.6
2024-25,Conditions,Yes       ,53,56.4
2024-25,Conditions,No        ,41,43.6
2024-25,Bacterial Coinfectio,Yes       ,13,35.1
2024-25,Bacterial Coinfectio,No        ,24,64.9
2024-25,OnsetToDeath,0,3,3.7
2024-25,OnsetToDeath,1,12,14.6
2024-25,OnsetToDeath,2,16,19.5
2024-25,OnsetToDeath,3,8,9.8
2024-25,OnsetToDeath,4,8,9.8
2024-25,OnsetToDeath,5,6,7.3
2024-25,OnsetToDeath,6,7,8.5
2024-25,OnsetToDeath,7,4,4.9
2024-25,OnsetToDeath,8,2,2.4
2024-25,OnsetToDeath,9,2,2.4
2024-25,OnsetToDeath,10,1,1.2
2024-25,OnsetToDeath,11,2,2.4
2024-25,OnsetToDeath,12,1,1.2
2024-25,OnsetToDeath,13,1,1.2
2024-25,OnsetToDeath,18,2,2.4
2024-25,OnsetToDeath,19,1,1.2
2024-25,OnsetToDeath,21,1,1.2
2024-25,OnsetToDeath,24,1,1.2
2024-25,OnsetToDeath,30+,4,4.9
2024-25,Location of Death,Outside Hospital,13,13.5
2024-25,Location of Death,Emergency Department,31,32.3
2024-25,Location of Death,Hospital Admitted,52,54.2
