Current_season,Month,Previous_covid_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,JAN,2023-24,Nevada,0.0368,0.038,-0.0012,"49,082","50,717",1334197,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,New York,0.0455,0.0523,-0.0068,"199,852","229,712",4391080,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Ohio,0.0483,0.0519,-0.0035,"227,761","244,469",4712462,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Oklahoma,0.0247,0.0265,-0.0018,"41,025","44,095",1661189,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Oregon,0.1181,0.1136,0.0045,"213,316","205,195",1806245,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Pennsylvania,0.0554,0.0572,-0.0018,"241,906","249,777",4366564,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Philadelphia,0.0683,0.0799,-0.0116,"50,702","59,314",742696,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Puerto Rico,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Republic of Palau,0.0012,0.0084,-0.0072,13,89,10568,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,South Dakota,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Houston,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Tennessee,0.031,0.0305,0.0005,"88,572","87,284",2857609,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Texas,0.0172,0.0218,-0.0046,"223,810","284,172",13026771,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Utah,0.0718,0.0678,0.004,"106,205","100,272",1478793,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Virginia,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,U.S. Virgin Islands ,0.0023,0.0019,0.0004,87,73,38581,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Vermont,0.1317,0.1321,-0.0004,"32,659","32,758",247935,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Washington,0.1121,0.1147,-0.0025,"377,287","385,854",3364376,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,Wisconsin,0.0848,0.0826,0.0022,"198,567","193,476",2341888,18-49 years,Within 5 percentage points,Adult
2024-25,JAN,2023-24,West Virginia,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JAN,2023-24,Wyoming,,,,Not Submitted,Not Submitted,,18-49 years,Not Available,Adult
2024-25,JUL,2023-24,Alaska,0.002,0,0.002,29,0,14422,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Alabama,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Arkansas,0.0002,0,0.0002,9,0,54432.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,American Samoa,0,0,0,0,0,1258.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Arizona,0.0012,8.0841e-06,0.0012,150,1,123698.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,New York City,0.0012,0,0.0012,185,0,155850,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,California,0.0037,0,0.0037,"2,494",0,672299,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Chicago,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Colorado,0.0023,0,0.0023,213,0,94603,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Connecticut,0.0019,0,0.0019,98,0,52209,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,District of Columbia,0.0041,0,0.0041,55,0,13527.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Delaware,0.0011,0,0.0011,18,0,15908.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Florida,0.0003,0,0.0003,85,0,332603,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Federated States of Micronesia,0,0,0,0,0,2844,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Georgia,0.0002,0,0.0002,44,2,188755.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Guam,0.0004,0,0.0004,2,0,4712,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Iowa,0.001,0,0.001,55,0,55916,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Idaho,0.0008,0.0029,-0.0021,27,95,32606.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Illinois,0.0021,0,0.0021,439,0,211177,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Indiana,0.0005,0,0.0005,62,0,121631,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Kansas,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Kentucky,0.0011,0,0.0011,87,0,79533.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Louisiana,0.0006,0,0.0006,52,0,86184,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Maine,0.0053,0,0.0053,99,0,18790,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Marshall Islands,0.0073,0,0.0073,19,0,2593,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Michigan,0,0,0,0,0,163198.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Minnesota,0.0021,0,0.0021,212,0,100594,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Missouri,0.0004,9.2104e-06,0.0003,39,1,108572.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,N. Mariana Islands,0,0,0,0,0,1139.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Mississippi,0.0001,0,0.0001,7,0,53615.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Montana,0.0011,0,0.0011,18,0,17119.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,North Carolina,0,0,0,0,0,178554.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,North Dakota,0.0001,0,0.0001,2,0,15564.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,New Jersey,0.0005,0.0033,-0.0028,76,502,151155,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,New Mexico,0.0028,0,0.0028,98,0,34451,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Nevada,0.0002,0,0.0002,10,0,54115,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,New York,0.0006,0,0.0006,112,5,174496,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Ohio,0,0,0,0,0,200231,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Oklahoma,0.0002,0,0.0002,12,0,73805.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Oregon,0.0043,0.0142,-0.0099,274,899,63424,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Pennsylvania,0.0017,0,0.0017,285,0,171599,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Philadelphia,0.0036,0,0.0036,107,0,30010.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Puerto Rico,0,0,0,1,0,37396.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Republic of Palau,0,0,0,0,0,355.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,South Dakota,0,0.0001,-0.0001,0,1,17706,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Houston,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,Tennessee,0.0004,0,0.0004,46,0,120410.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Texas,0.0006,0.004,-0.0034,351,"2,295",570423.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Utah,0.0008,0,0.0007,54,1,71006.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Virginia,,,,Not Submitted,Not Submitted,,6-23 months,Not Available,Child
2024-25,JUL,2023-24,U.S. Virgin Islands ,0,0,0,0,0,1951,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Vermont,0.0046,0,0.0046,38,0,8232,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Washington,0.0052,0,0.0052,680,4,130262.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Wisconsin,0.0023,0,0.0023,222,0,95451.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,West Virginia,0.0001,0,0.0001,2,0,26572.5,6-23 months,Within 5 percentage points,Child
2024-25,JUL,2023-24,Wyoming,0.0002,0,0.0002,2,0,9510.5,6-23 months,Within 5 percentage points,Child
2024-25,OCT,2023-24,Alaska,0.0205,0.0131,0.0074,"3,564","2,275",173878,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Alabama,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Arkansas,0.0058,0.0036,0.0022,"3,967","2,444",681696.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,American Samoa,0,0,0,0,0,15641.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Arizona,0.0184,0.0099,0.0085,"29,497","15,876",1605718.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,New York City,0.022,0.0131,0.009,"36,177","21,416",1640786,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,California,0.03,0.0161,0.0139,"257,198","137,731",8567802,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Chicago,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Colorado,0.0483,0.0277,0.0206,"58,870","33,730",1218497,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Connecticut,0.0252,0.0177,0.0075,"17,704","12,417",701836,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,District of Columbia,0.0862,0.0454,0.0408,"10,771","5,674",124975.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Delaware,0.015,0.0118,0.0033,"2,999","2,347",199407.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Florida,0.0048,0.0036,0.0012,"20,001","14,984",4140953,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Federated States of Micronesia,0.0022,0,0.0022,75,0,34647,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Georgia,0.0084,0.0061,0.0023,"20,535","14,942",2437453.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Guam,0.0024,0,0.0024,126,2,52373,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Iowa,0.0235,0.0139,0.0096,"16,614","9,821",707072,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Idaho,0.0103,0.0085,0.0018,"4,547","3,749",440269.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Illinois,0.0268,0.0182,0.0086,"72,677","49,402",2707942,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Indiana,0.0149,0.0086,0.0063,"22,731","13,133",1526214,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Kansas,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Kentucky,0.0116,0.0075,0.004,"11,276","7,326",975661.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Louisiana,0.0034,0.0015,0.0019,"3,592","1,622",1052713,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Maine,0.0409,0.024,0.0169,"9,888","5,804",242032,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Marshall Islands,0.0141,0.0003,0.0137,413,10,29342,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Michigan,0.0232,0.0174,0.0058,"48,060","36,115",2072888.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Minnesota,0.0566,0.0364,0.0202,"71,776","46,126",1268024,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Missouri,0.0179,0.0114,0.0066,"23,969","15,206",1335604.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,N. Mariana Islands,0.0035,0.0001,0.0034,54,2,15392.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Mississippi,0.0022,0.0013,0.0009,"1,512",897,675423.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Montana,0.0224,0.0113,0.0111,"5,015","2,537",224000.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,North Carolina,0.0186,0.0122,0.0064,"41,807","27,370",2247245.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,North Dakota,0.023,0.0122,0.0108,"4,055","2,149",176399.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,New Jersey,0.0151,0.0147,0.0004,"28,444","27,761",1884782,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,New Mexico,0.025,0.0139,0.0111,"11,545","6,425",461203,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Nevada,0.0085,0.0071,0.0014,"5,773","4,801",679728,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,New York,0.0181,0.0118,0.0063,"40,506","26,430",2237082,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Ohio,0.0162,0.0112,0.005,"40,496","28,052",2502483,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Oklahoma,0.0055,0.0046,0.0009,"5,129","4,250",929182.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Oregon,0.0505,0.0344,0.0161,"42,415","28,907",839769,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Pennsylvania,0.0214,0.0138,0.0077,"47,736","30,706",2225691,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Philadelphia,0.0231,0.0095,0.0136,"7,581","3,107",328538.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Puerto Rico,0.0007,0.0005,0.0002,399,294,553690.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Republic of Palau,0,0,0,0,0,4829.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,South Dakota,0.0192,0.0108,0.0084,"4,088","2,293",212574,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Houston,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,Tennessee,0.0094,0.0061,0.0033,"13,849","8,983",1473455.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Texas,0.0085,0.007,0.0015,"61,655","50,717",7246622.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Utah,0.025,0.0145,0.0105,"22,633","13,111",905560.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Virginia,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,OCT,2023-24,U.S. Virgin Islands ,0.0006,0.0001,0.0005,15,3,24141,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Vermont,0.0869,0.0446,0.0423,"9,606","4,933",110501,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Washington,0.0523,0.0348,0.0175,"84,814","56,444",1622553.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Wisconsin,0.0331,0.0134,0.0197,"40,580","16,390",1227144.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,West Virginia,0.0046,0.0027,0.0018,"1,586",955,347543.5,6 months-17 years,Within 5 percentage points,Child
2024-25,OCT,2023-24,Wyoming,0.0085,0.0062,0.0023,"1,102",807,129929.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Alaska,0.0394,0.0338,0.0056,"1,869","1,603",47492,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Alabama,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Arkansas,0.014,0.0134,0.0006,"2,818","2,701",201249,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,American Samoa,0,0,0,0,0,4748,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Arizona,0.037,0.0376,-0.0006,"17,739","18,037",479456,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York City,0.0338,0.0296,0.0042,"14,749","12,900",436260,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,California,0.0548,0.0506,0.0042,"138,226","127,615",2522821,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Chicago,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Colorado,0.0758,0.0708,0.0049,"27,697","25,890",365609,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Connecticut,0.0442,0.0465,-0.0023,"9,830","10,340",222285,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,District of Columbia,0.118,0.0843,0.0337,"3,177","2,269",26925,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Delaware,0.036,0.0424,-0.0064,"2,113","2,488",58703,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Florida,0.0126,0.0123,0.0003,"15,353","15,043",1219345,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Federated States of Micronesia,0.0065,0,0.0065,67,0,10382,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Georgia,0.0164,0.0184,-0.0021,"12,032","13,553",735062,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Guam,0.0023,0.0001,0.0022,31,1,13771,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Iowa,0.0451,0.0433,0.0019,"9,403","9,017",208457,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Idaho,0.0242,0.0239,0.0004,"3,231","3,182",133291,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Illinois,0.0458,0.0475,-0.0016,"37,423","38,747",816314,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Indiana,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Kansas,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Kentucky,0.0228,0.0225,0.0003,"6,534","6,447",286150,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Louisiana,0.0074,0.0065,0.0009,"2,226","1,954",301827,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Maine,0.069,0.0516,0.0174,"5,179","3,874",75066,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Marshall Islands,0.0159,0.0011,0.0148,130,9,8151,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Michigan,0.0392,0.0396,-0.0004,"24,463","24,739",624694,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Minnesota,0.0885,0.084,0.0045,"32,858","31,176",371308,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Missouri,0.0312,0.0298,0.0014,"12,260","11,698",393013,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,N. Mariana Islands,0.0079,0.0047,0.0031,40,24,5092,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Mississippi,0.0054,0.0055,-0.0001,"1,111","1,123",203909,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Montana,0.0355,0.0315,0.004,"2,327","2,065",65539,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Carolina,0.0331,0.033,0.0001,"22,221","22,154",671415,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Dakota,0.0404,0.0363,0.0041,"1,892","1,702",46827,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,New Jersey,0.0272,0.0336,-0.0063,"15,326","18,878",562524,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New Mexico,0.0537,0.0514,0.0023,"7,499","7,172",139564,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nevada,0.0195,0.0203,-0.0007,"3,868","4,013",198053,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York,0.0341,0.0356,-0.0014,"23,168","24,137",678480,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Ohio,0.0315,0.0325,-0.001,"23,363","24,093",742187,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oklahoma,0.0141,0.0153,-0.0012,"3,798","4,111",268724,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oregon,0.0845,0.0824,0.0021,"21,010","20,494",248705,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Pennsylvania,0.0365,0.0415,-0.005,"24,726","28,076",676599,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Philadelphia,0.0333,0.031,0.0022,"2,876","2,683",86470,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Puerto Rico,0.0021,0.0027,-0.0005,399,498,187055,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Republic of Palau,0,0,0,0,0,1763,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,South Dakota,0.0367,0.0337,0.0031,"2,198","2,015",59835,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Houston,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,Tennessee,0.0185,0.018,0.0005,"8,014","7,785",433368,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Texas,0.0185,0.0251,-0.0066,"39,089","52,929",2110766,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Utah,0.0475,0.0429,0.0046,"12,742","11,520",268337,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Virginia,,,,Not Submitted,Not Submitted,,13-17 years,Not Available,Child
2024-25,DEC,2023-24,U.S. Virgin Islands ,0.0014,0.0005,0.0009,9,3,6338,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Vermont,0.1316,0.1247,0.0069,"4,532","4,293",34429,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Washington,0.0831,0.0809,0.0022,"38,283","37,252",460572,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wisconsin,0.0586,0.0536,0.005,"21,717","19,860",370797,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,West Virginia,0.0109,0.0116,-0.0007,"1,139","1,209",104247,13-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wyoming,0.0164,0.0176,-0.0011,636,679,38687,13-17 years,Within 5 percentage points,Child
2024-25,JUL,2023-24,Alaska,0.0011,0,0.0011,147,0,133827,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Alabama,,,,Not Submitted,Not Submitted,,50-64 years,Not Available,Adult
2024-25,JUL,2023-24,Arkansas,0.0004,1.7713e-06,0.0004,212,1,564552,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,American Samoa,0.0001,0,0.0001,1,0,7639,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Arizona,0.0012,0,0.0012,"1,578",0,1321503,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,New York City,0.001,0,0.001,"1,539",0,1498072,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,California,0.0027,0,0.0027,"19,389",0,7220373,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Chicago,,,,Not Submitted,Not Submitted,,50-64 years,Not Available,Adult
2024-25,JUL,2023-24,Colorado,0.0016,0,0.0016,"1,644",0,1053369,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Connecticut,0.0013,0,0.0013,978,0,758237,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,District of Columbia,0.0024,0,0.0024,258,0,105409,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Delaware,0.0012,0,0.0012,243,0,201301,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Florida,0.0016,0,0.0016,"6,950",0,4311636,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Federated States of Micronesia,0.0027,0,0.0027,33,0,12246,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Georgia,0.0011,0,0.0011,"2,283",0,2015461,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Guam,0.0001,0,0.0001,3,0,27742,50-64 years,Within 5 percentage points,Adult
2024-25,JUL,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,50-64 years,Not Available,Adult
