current_season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child or adult
2023-24,AUG,0,46976.5,American Samoa,0,Overall,"2023-24, American Samoa: Overall",All
2023-24,AUG,0,47492,Alaska,0,13-17 years,"2023-24, Alaska: 13-17 years",Child
2023-24,AUG,0,47529,Marshall Islands,0,18+ years,"2023-24, Marshall Islands: 18+ years",Adult
2023-24,AUG,0,48907,South Dakota,0,9-12 years,"2023-24, South Dakota: 9-12 years",Child
2023-24,AUG,0,49666,Federated States of Micronesia,0,18-49 years,"2023-24, Federated States of Micronesia: 18-49 years",Adult
2023-24,AUG,0,51368,Hawaii,0,2-4 years,"2023-24, Hawaii: 2-4 years",Child
2023-24,AUG,0,51467.5,N. Mariana Islands,0,Overall,"2023-24, N. Mariana Islands: Overall",All
2023-24,AUG,0,51927,Montana,0,5-8 years,"2023-24, Montana: 5-8 years",Child
2023-24,AUG,0,52209,Connecticut,0,6-23 months,"2023-24, Connecticut: 6-23 months",Child
2023-24,AUG,0,52303,Montana,0,9-12 years,"2023-24, Montana: 9-12 years",Child
2023-24,AUG,0,52373,Guam,0,6 months to 17 years,"2023-24, Guam: 6 months to 17 years",Child
2023-24,AUG,0,53615.5,Mississippi,0,6-23 months,"2023-24, Mississippi: 6-23 months",Child
2023-24,AUG,0,53773,Maine,0,5-8 years,"2023-24, Maine: 5-8 years",Child
2023-24,AUG,0,54115,Nevada,0,6-23 months,"2023-24, Nevada: 6-23 months",Child
2023-24,AUG,0,54432.5,Arkansas,0,6-23 months,"2023-24, Arkansas: 6-23 months",Child
2023-24,AUG,0,55856,West Virginia,0,2-4 years,"2023-24, West Virginia: 2-4 years",Child
2023-24,AUG,0,55916,Iowa,0,6-23 months,"2023-24, Iowa: 6-23 months",Child
2023-24,AUG,0,55949,Maine,0,9-12 years,"2023-24, Maine: 9-12 years",Child
2023-24,AUG,0,59557,Philadelphia,0,2-4 years,"2023-24, Philadelphia: 2-4 years",Child
2023-24,AUG,0,59835,South Dakota,0,13-17 years,"2023-24, South Dakota: 13-17 years",Child
2023-24,AUG,0,65309,Hawaii,0,9-12 years,"2023-24, Hawaii: 9-12 years",Child
2023-24,AUG,0,65539,Montana,0,13-17 years,"2023-24, Montana: 13-17 years",Child
2023-24,AUG,0,66724,Federated States of Micronesia,0,18+ years,"2023-24, Federated States of Micronesia: 18+ years",Adult
2023-24,AUG,0,70041,Hawaii,0,5-8 years,"2023-24, Hawaii: 5-8 years",Child
2023-24,AUG,0,70741,Guam,0,18-49 years,"2023-24, Guam: 18-49 years",Adult
2023-24,AUG,0,72986,New Mexico,0,2-4 years,"2023-24, New Mexico: 2-4 years",Child
2023-24,AUG,0,73520,Philadelphia,0,9-12 years,"2023-24, Philadelphia: 9-12 years",Child
2023-24,AUG,0,73805.5,Oklahoma,0,6-23 months,"2023-24, Oklahoma: 6-23 months",Child
2023-24,AUG,0,74811,Puerto Rico,0,2-4 years,"2023-24, Puerto Rico: 2-4 years",Child
2023-24,AUG,0,75066,Maine,0,13-17 years,"2023-24, Maine: 13-17 years",Child
2023-24,AUG,0,76428,Hawaii,0,13-17 years,"2023-24, Hawaii: 13-17 years",Child
2023-24,AUG,0,76871,Marshall Islands,0,Overall,"2023-24, Marshall Islands: Overall",All
2023-24,AUG,0,78981,Philadelphia,0,5-8 years,"2023-24, Philadelphia: 5-8 years",Child
2023-24,AUG,0,79533.5,Kentucky,0,6-23 months,"2023-24, Kentucky: 6-23 months",Child
2023-24,AUG,0,79949,West Virginia,0,5-8 years,"2023-24, West Virginia: 5-8 years",Child
2023-24,AUG,0,80919,West Virginia,0,9-12 years,"2023-24, West Virginia: 9-12 years",Child
2023-24,AUG,0,81507,U.S. Virgin Islands ,0,18+ years,"2023-24, U.S. Virgin Islands : 18+ years",Adult
2023-24,AUG,0,85458,Alabama,0,6-23 months,"2023-24, Alabama: 6-23 months",Child
2023-24,AUG,0,86184,Louisiana,0,6-23 months,"2023-24, Louisiana: 6-23 months",Child
2023-24,AUG,0,89833,District of Columbia,0,65+ years,"2023-24, District of Columbia: 65+ years",Adult
2023-24,AUG,0,95451.5,Wisconsin,0,6-23 months,"2023-24, Wisconsin: 6-23 months",Child
2023-24,AUG,0,95876,Alaska,0,65+ years,"2023-24, Alaska: 65+ years",Adult
2023-24,AUG,0,100594,Minnesota,0,6-23 months,"2023-24, Minnesota: 6-23 months",Child
2023-24,AUG,0,101371,Federated States of Micronesia,0,Overall,"2023-24, Federated States of Micronesia: Overall",All
2023-24,AUG,0,103776,Wyoming,0,65+ years,"2023-24, Wyoming: 65+ years",Adult
2023-24,AUG,0,104247,West Virginia,0,13-17 years,"2023-24, West Virginia: 13-17 years",Child
2023-24,AUG,0,105409,District of Columbia,0,50-64 years,"2023-24, District of Columbia: 50-64 years",Adult
2023-24,AUG,0,105648,U.S. Virgin Islands ,0,Overall,"2023-24, U.S. Virgin Islands : Overall",All
2023-24,AUG,0,108898,Wyoming,0,50-64 years,"2023-24, Wyoming: 50-64 years",Adult
2023-24,AUG,0,110266,Connecticut,0,2-4 years,"2023-24, Connecticut: 2-4 years",Child
2023-24,AUG,0,110338,Mississippi,0,2-4 years,"2023-24, Mississippi: 2-4 years",Child
2023-24,AUG,0,110501,Vermont,0,6 months to 17 years,"2023-24, Vermont: 6 months to 17 years",Child
2023-24,AUG,0,112689,Nevada,0,2-4 years,"2023-24, Nevada: 2-4 years",Child
2023-24,AUG,0,114544,Guam,0,18+ years,"2023-24, Guam: 18+ years",Adult
2023-24,AUG,0,118083,Puerto Rico,0,5-8 years,"2023-24, Puerto Rico: 5-8 years",Child
2023-24,AUG,0,118179,Iowa,0,2-4 years,"2023-24, Iowa: 2-4 years",Child
2023-24,AUG,0,123141,North Dakota,0,65+ years,"2023-24, North Dakota: 65+ years",Adult
2023-24,AUG,0,129929.5,Wyoming,0,6 months to 17 years,"2023-24, Wyoming: 6 months to 17 years",Child
2023-24,AUG,0,130824,North Dakota,0,50-64 years,"2023-24, North Dakota: 50-64 years",Adult
2023-24,AUG,0,133652,Vermont,0,50-64 years,"2023-24, Vermont: 50-64 years",Adult
2023-24,AUG,0,133827,Alaska,0,50-64 years,"2023-24, Alaska: 50-64 years",Adult
2023-24,AUG,0,147011,Utah,0,2-4 years,"2023-24, Utah: 2-4 years",Child
2023-24,AUG,0,149649,Mississippi,0,5-8 years,"2023-24, Mississippi: 5-8 years",Child
2023-24,AUG,0,155850,New York City,0,6-23 months,"2023-24, New York City: 6-23 months",Child
2023-24,AUG,0,157912,Mississippi,0,9-12 years,"2023-24, Mississippi: 9-12 years",Child
2023-24,AUG,0,159658,Nevada,0,9-12 years,"2023-24, Nevada: 9-12 years",Child
2023-24,AUG,0,161075,Iowa,0,5-8 years,"2023-24, Iowa: 5-8 years",Child
2023-24,AUG,0,163198.5,Michigan,0,6-23 months,"2023-24, Michigan: 6-23 months",Child
2023-24,AUG,0,163419,Connecticut,0,9-12 years,"2023-24, Connecticut: 9-12 years",Child
2023-24,AUG,0,163445,Iowa,0,9-12 years,"2023-24, Iowa: 9-12 years",Child
2023-24,AUG,0,164299,Kentucky,0,2-4 years,"2023-24, Kentucky: 2-4 years",Child
2023-24,AUG,0,166917,Guam,0,Overall,"2023-24, Guam: Overall",All
2023-24,AUG,0,173878,Alaska,0,6 months to 17 years,"2023-24, Alaska: 6 months to 17 years",Child
2023-24,AUG,0,176399.5,North Dakota,0,6 months to 17 years,"2023-24, North Dakota: 6 months to 17 years",Child
2023-24,AUG,0,178339,Alabama,0,2-4 years,"2023-24, Alabama: 2-4 years",Child
2023-24,AUG,0,178554.5,North Carolina,0,6-23 months,"2023-24, North Carolina: 6-23 months",Child
2023-24,AUG,0,197594,Delaware,0,65+ years,"2023-24, Delaware: 65+ years",Adult
2023-24,AUG,0,198053,Nevada,0,13-17 years,"2023-24, Nevada: 13-17 years",Child
2023-24,AUG,0,199448,Wisconsin,0,2-4 years,"2023-24, Wisconsin: 2-4 years",Child
2023-24,AUG,0,200231,Ohio,0,6-23 months,"2023-24, Ohio: 6-23 months",Child
2023-24,AUG,0,205956,Utah,0,5-8 years,"2023-24, Utah: 5-8 years",Child
2023-24,AUG,0,207146,Montana,0,50-64 years,"2023-24, Montana: 50-64 years",Adult
2023-24,AUG,0,208457,Iowa,0,13-17 years,"2023-24, Iowa: 13-17 years",Child
2023-24,AUG,0,212202,Minnesota,0,2-4 years,"2023-24, Minnesota: 2-4 years",Child
2023-24,AUG,0,213392,Montana,0,65+ years,"2023-24, Montana: 65+ years",Adult
2023-24,AUG,0,222571,Kentucky,0,5-8 years,"2023-24, Kentucky: 5-8 years",Child
2023-24,AUG,0,224000.5,Montana,0,6 months to 17 years,"2023-24, Montana: 6 months to 17 years",Child
2023-24,AUG,0,236563,Wyoming,0,18-49 years,"2023-24, Wyoming: 18-49 years",Adult
2023-24,AUG,0,239102,Alabama,0,5-8 years,"2023-24, Alabama: 5-8 years",Child
2023-24,AUG,0,242032,Maine,0,6 months to 17 years,"2023-24, Maine: 6 months to 17 years",Child
2023-24,AUG,0,245322,Alabama,0,9-12 years,"2023-24, Alabama: 9-12 years",Child
2023-24,AUG,0,247042,Tennessee,0,2-4 years,"2023-24, Tennessee: 2-4 years",Child
2023-24,AUG,0,247935,Vermont,0,18-49 years,"2023-24, Vermont: 18-49 years",Adult
2023-24,AUG,0,260200,Hawaii,0,50-64 years,"2023-24, Hawaii: 50-64 years",Adult
2023-24,AUG,0,260352,Arizona,0,2-4 years,"2023-24, Arizona: 2-4 years",Child
2023-24,AUG,0,268724,Oklahoma,0,13-17 years,"2023-24, Oklahoma: 13-17 years",Child
2023-24,AUG,0,270072,Philadelphia,0,50-64 years,"2023-24, Philadelphia: 50-64 years",Adult
2023-24,AUG,0,274405,Colorado,0,5-8 years,"2023-24, Colorado: 5-8 years",Child
2023-24,AUG,0,275080,Hawaii,0,65+ years,"2023-24, Hawaii: 65+ years",Adult
2023-24,AUG,0,285438,Colorado,0,9-12 years,"2023-24, Colorado: 9-12 years",Child
2023-24,AUG,0,286356,Wisconsin,0,9-12 years,"2023-24, Wisconsin: 9-12 years",Child
2023-24,AUG,0,287696,Hawaii,0,6 months to 17 years,"2023-24, Hawaii: 6 months to 17 years",Child
2023-24,AUG,0,291284,Minnesota,0,5-8 years,"2023-24, Minnesota: 5-8 years",Child
2023-24,AUG,0,292636,Minnesota,0,9-12 years,"2023-24, Minnesota: 9-12 years",Child
2023-24,AUG,0,293776,Maine,0,65+ years,"2023-24, Maine: 65+ years",Adult
2023-24,AUG,0,300529,Maine,0,50-64 years,"2023-24, Maine: 50-64 years",Adult
2023-24,AUG,0,302005,New York City,0,2-4 years,"2023-24, New York City: 2-4 years",Child
2023-24,AUG,0,310939,Alabama,0,13-17 years,"2023-24, Alabama: 13-17 years",Child
2023-24,AUG,0,322724,Alaska,0,18-49 years,"2023-24, Alaska: 18-49 years",Adult
2023-24,AUG,0,329715,North Dakota,0,18-49 years,"2023-24, North Dakota: 18-49 years",Adult
2023-24,AUG,0,332603,Florida,0,6-23 months,"2023-24, Florida: 6-23 months",Child
2023-24,AUG,0,342016,Michigan,0,2-4 years,"2023-24, Michigan: 2-4 years",Child
2023-24,AUG,0,347543.5,West Virginia,0,6 months to 17 years,"2023-24, West Virginia: 6 months to 17 years",Child
2023-24,AUG,0,351878,Indiana,0,9-12 years,"2023-24, Indiana: 9-12 years",Child
2023-24,AUG,0,352593,South Dakota,0,18-49 years,"2023-24, South Dakota: 18-49 years",Adult
2023-24,AUG,0,360714,New York City,0,9-12 years,"2023-24, New York City: 9-12 years",Child
2023-24,AUG,0,361410,Pennsylvania,0,2-4 years,"2023-24, Pennsylvania (excluding Philadelphia County): 2-4 years",Child
2023-24,AUG,0,364081,West Virginia,0,50-64 years,"2023-24, West Virginia: 50-64 years",Adult
2023-24,AUG,0,365609,Colorado,0,13-17 years,"2023-24, Colorado: 13-17 years",Child
2023-24,AUG,0,366688,Arizona,0,5-8 years,"2023-24, Arizona: 5-8 years",Child
2023-24,AUG,0,369112,North Carolina,0,2-4 years,"2023-24, North Carolina: 2-4 years",Child
2023-24,AUG,0,370797,Wisconsin,0,13-17 years,"2023-24, Wisconsin: 13-17 years",Child
2023-24,AUG,0,371308,Minnesota,0,13-17 years,"2023-24, Minnesota: 13-17 years",Child
2023-24,AUG,0,373569,West Virginia,0,65+ years,"2023-24, West Virginia: 65+ years",Adult
2023-24,AUG,0,375524,Arizona,0,9-12 years,"2023-24, Arizona: 9-12 years",Child
2023-24,AUG,0,383258,Delaware,0,18-49 years,"2023-24, Delaware: 18-49 years",Adult
2023-24,AUG,0,385957,New York City,0,5-8 years,"2023-24, New York City: 5-8 years",Child
2023-24,AUG,0,386838,New Mexico,0,50-64 years,"2023-24, New Mexico: 50-64 years",Adult
2023-24,AUG,0,396292,Georgia,0,2-4 years,"2023-24, Georgia: 2-4 years",Child
2023-24,AUG,0,430356,Montana,0,18-49 years,"2023-24, Montana: 18-49 years",Adult
2023-24,AUG,0,436260,New York City,0,13-17 years,"2023-24, New York City: 13-17 years",Child
2023-24,AUG,0,449237,Wyoming,0,18+ years,"2023-24, Wyoming: 18+ years",Adult
2023-24,AUG,0,451792,Indiana,0,13-17 years,"2023-24, Indiana: 13-17 years",Child
2023-24,AUG,0,467559,Michigan,0,5-8 years,"2023-24, Michigan: 5-8 years",Child
2023-24,AUG,0,475421,Michigan,0,9-12 years,"2023-24, Michigan: 9-12 years",Child
2023-24,AUG,0,479456,Arizona,0,13-17 years,"2023-24, Arizona: 13-17 years",Child
2023-24,AUG,0,504671,North Carolina,0,5-8 years,"2023-24, North Carolina: 5-8 years",Child
2023-24,AUG,0,507668,Maine,0,18-49 years,"2023-24, Maine: 18-49 years",Adult
2023-24,AUG,0,514913,New York State,0,9-12 years,"2023-24, New York (excluding New York City): 9-12 years",Child
2023-24,AUG,0,515686,Pennsylvania,0,9-12 years,"2023-24, Pennsylvania (excluding Philadelphia County): 9-12 years",Child
2023-24,AUG,0,523493,North Carolina,0,9-12 years,"2023-24, North Carolina: 9-12 years",Child
2023-24,AUG,0,547437,Georgia,0,5-8 years,"2023-24, Georgia: 5-8 years",Child
2023-24,AUG,0,552427,Alaska,0,18+ years,"2023-24, Alaska: 18+ years",Adult
2023-24,AUG,0,569627,Ohio,0,5-8 years,"2023-24, Ohio: 5-8 years",Child
2023-24,AUG,0,569907,Georgia,0,9-12 years,"2023-24, Georgia: 9-12 years",Child
2023-24,AUG,0,572469,Ohio,0,9-12 years,"2023-24, Ohio: 9-12 years",Child
2023-24,AUG,0,575908,Hawaii,0,18-49 years,"2023-24, Hawaii: 18-49 years",Adult
2023-24,AUG,0,579166.5,Wyoming,0,Overall,"2023-24, Wyoming: Overall",All
2023-24,AUG,0,583680,North Dakota,0,18+ years,"2023-24, North Dakota: 18+ years",Adult
2023-24,AUG,0,587166,Nevada,0,50-64 years,"2023-24, Nevada: 50-64 years",Adult
2023-24,AUG,0,593437,Iowa,0,50-64 years,"2023-24, Iowa: 50-64 years",Adult
2023-24,AUG,0,624694,Michigan,0,13-17 years,"2023-24, Michigan: 13-17 years",Child
2023-24,AUG,0,640160,Puerto Rico,0,50-64 years,"2023-24, Puerto Rico: 50-64 years",Adult
2023-24,AUG,0,692623,Florida,0,2-4 years,"2023-24, Florida: 2-4 years",Child
2023-24,AUG,0,697429,Puerto Rico,0,65+ years,"2023-24, Puerto Rico: 65+ years",Adult
2023-24,AUG,0,707072,Iowa,0,6 months to 17 years,"2023-24, Iowa: 6 months to 17 years",Child
2023-24,AUG,0,712915,Oklahoma,0,50-64 years,"2023-24, Oklahoma: 50-64 years",Adult
2023-24,AUG,0,726305,Alaska,0,Overall,"2023-24, Alaska: Overall",All
2023-24,AUG,0,742187,Ohio,0,13-17 years,"2023-24, Ohio: 13-17 years",Child
2023-24,AUG,0,760079.5,North Dakota,0,Overall,"2023-24, North Dakota: Overall",All
2023-24,AUG,0,763750,Louisiana,0,65+ years,"2023-24, Louisiana: 65+ years",Adult
2023-24,AUG,0,850894,Montana,0,18+ years,"2023-24, Montana: 18+ years",Adult
2023-24,AUG,0,873539,Louisiana,0,50-64 years,"2023-24, Louisiana: 50-64 years",Adult
2023-24,AUG,0,874244,Alabama,0,65+ years,"2023-24, Alabama: 65+ years",Adult
2023-24,AUG,0,941363,Florida,0,5-8 years,"2023-24, Florida: 5-8 years",Child
2023-24,AUG,0,948841,Minnesota,0,65+ years,"2023-24, Minnesota: 65+ years",Adult
2023-24,AUG,0,955019,Florida,0,9-12 years,"2023-24, Florida: 9-12 years",Child
2023-24,AUG,0,962974,Alabama,0,50-64 years,"2023-24, Alabama: 50-64 years",Adult
2023-24,AUG,0,1059160,Alabama,0,6 months to 17 years,"2023-24, Alabama: 6 months to 17 years",Child
2023-24,AUG,0,1074894.5,Montana,0,Overall,"2023-24, Montana: Overall",All
2023-24,AUG,0,1091861,Minnesota,0,50-64 years,"2023-24, Minnesota: 50-64 years",Adult
2023-24,AUG,0,1101973,Maine,0,18+ years,"2023-24, Maine: 18+ years",Adult
2023-24,AUG,0,1111188,Hawaii,0,18+ years,"2023-24, Hawaii: 18+ years",Adult
2023-24,AUG,0,1184308,Wisconsin,0,50-64 years,"2023-24, Wisconsin: 50-64 years",Adult
2023-24,AUG,0,1190710,Missouri,0,50-64 years,"2023-24, Missouri: 50-64 years",Adult
2023-24,AUG,0,1212056,Mississippi,0,18-49 years,"2023-24, Mississippi: 18-49 years",Adult
2023-24,AUG,0,1219345,Florida,0,13-17 years,"2023-24, Florida: 13-17 years",Child
2023-24,AUG,0,1268024,Minnesota,0,6 months to 17 years,"2023-24, Minnesota: 6 months to 17 years",Child
2023-24,AUG,0,1278429,Iowa,0,18-49 years,"2023-24, Iowa: 18-49 years",Adult
2023-24,AUG,0,1308751,New York City,0,65+ years,"2023-24, New York City: 65+ years",Adult
2023-24,AUG,0,1335281,Tennessee,0,50-64 years,"2023-24, Tennessee: 50-64 years",Adult
2023-24,AUG,0,1344005,Maine,0,Overall,"2023-24, Maine: Overall",All
2023-24,AUG,0,1398884,Hawaii,0,Overall,"2023-24, Hawaii: Overall",All
2023-24,AUG,0,1473455.5,Tennessee,0,6 months to 17 years,"2023-24, Tennessee: 6 months to 17 years",Child
2023-24,AUG,0,1478793,Utah,0,18-49 years,"2023-24, Utah: 18-49 years",Adult
2023-24,AUG,0,1498072,New York City,0,50-64 years,"2023-24, New York City: 50-64 years",Adult
2023-24,AUG,0,1640786,New York City,0,6 months to 17 years,"2023-24, New York City: 6 months to 17 years",Child
2023-24,AUG,0,1812441,Michigan,0,65+ years,"2023-24, Michigan: 65+ years",Adult
2023-24,AUG,0,1829101,Kentucky,0,18-49 years,"2023-24, Kentucky: 18-49 years",Adult
2023-24,AUG,0,1997031,Alabama,0,18-49 years,"2023-24, Alabama: 18-49 years",Adult
2023-24,AUG,0,2020773,Michigan,0,50-64 years,"2023-24, Michigan: 50-64 years",Adult
2023-24,AUG,0,2072888.5,Michigan,0,6 months to 17 years,"2023-24, Michigan: 6 months to 17 years",Child
2023-24,AUG,0,2315421,Minnesota,0,18-49 years,"2023-24, Minnesota: 18-49 years",Adult
2023-24,AUG,0,2341888,Wisconsin,0,18-49 years,"2023-24, Wisconsin: 18-49 years",Adult
2023-24,AUG,0,2857609,Tennessee,0,18-49 years,"2023-24, Tennessee: 18-49 years",Adult
2023-24,AUG,0,3752487,New York City,0,18-49 years,"2023-24, New York City: 18-49 years",Adult
2023-24,AUG,0,4006528,Michigan,0,18-49 years,"2023-24, Michigan: 18-49 years",Adult
2023-24,AUG,0,4140953,Florida,0,6 months to 17 years,"2023-24, Florida: 6 months to 17 years",Child
2023-24,AUG,0,4311636,Florida,0,50-64 years,"2023-24, Florida: 50-64 years",Adult
2023-24,AUG,0,4356123,Minnesota,0,18+ years,"2023-24, Minnesota: 18+ years",Adult
2023-24,AUG,0,4619939,Georgia,0,18-49 years,"2023-24, Georgia: 18-49 years",Adult
2023-24,AUG,0,4638094,Florida,0,65+ years,"2023-24, Florida: 65+ years",Adult
2023-24,AUG,0,4712462,Ohio,0,18-49 years,"2023-24, Ohio: 18-49 years",Adult
2023-24,AUG,0,5373433,Tennessee,0,18+ years,"2023-24, Tennessee: 18+ years",Adult
2023-24,AUG,0,5624147,Minnesota,0,Overall,"2023-24, Minnesota: Overall",All
2023-24,AUG,0,6559310,New York City,0,18+ years,"2023-24, New York City: 18+ years",Adult
2023-24,AUG,0,6846888.5,Tennessee,0,Overall,"2023-24, Tennessee: Overall",All
2023-24,AUG,0,7839742,Michigan,0,18+ years,"2023-24, Michigan: 18+ years",Adult
2023-24,AUG,0,8200096,New York City,0,Overall,"2023-24, New York City: Overall",All
2023-24,AUG,0,8532850,Florida,0,18-49 years,"2023-24, Florida: 18-49 years",Adult
2023-24,AUG,0,9912630.5,Michigan,0,Overall,"2023-24, Michigan: Overall",All
2023-24,AUG,0,17482580,Florida,0,18+ years,"2023-24, Florida: 18+ years",Adult
2023-24,AUG,0,21623533,Florida,0,Overall,"2023-24, Florida: Overall",All
2023-24,AUG,1,15908.5,Delaware,0.0001,6-23 months,"2023-24, Delaware: 6-23 months",Child
2023-24,AUG,1,17706,South Dakota,0.0001,6-23 months,"2023-24, South Dakota: 6-23 months",Child
2023-24,AUG,1,34451,New Mexico,0,6-23 months,"2023-24, New Mexico: 6-23 months",Child
2023-24,AUG,1,49273,South Dakota,0,5-8 years,"2023-24, South Dakota: 5-8 years",Child
2023-24,AUG,1,58703,Delaware,0,13-17 years,"2023-24, Delaware: 13-17 years",Child
2023-24,AUG,1,108572.5,Missouri,0.0000092104,6-23 months,"2023-24, Missouri: 6-23 months",Child
2023-24,AUG,1,109896,New Mexico,0.0000090995,9-12 years,"2023-24, New Mexico: 9-12 years",Child
2023-24,AUG,1,120410.5,Tennessee,0.0000083049,6-23 months,"2023-24, Tennessee: 6-23 months",Child
2023-24,AUG,1,121631,Indiana,0.0000082216,6-23 months,"2023-24, Indiana: 6-23 months",Child
2023-24,AUG,1,123698.5,Arizona,0.0000080841,6-23 months,"2023-24, Arizona: 6-23 months",Child
2023-24,AUG,1,128594,Vermont,0.0000077764,65+ years,"2023-24, Vermont: 65+ years",Adult
2023-24,AUG,1,136345,Puerto Rico,0.0000073343,9-12 years,"2023-24, Puerto Rico: 9-12 years",Child
2023-24,AUG,1,155213,Nevada,0.0000064428,5-8 years,"2023-24, Nevada: 5-8 years",Child
2023-24,AUG,1,157177,South Dakota,0.0000063623,65+ years,"2023-24, South Dakota: 65+ years",Adult
2023-24,AUG,1,164468,South Dakota,0.0000060802,50-64 years,"2023-24, South Dakota: 50-64 years",Adult
2023-24,AUG,1,198442,Colorado,0.0000050393,2-4 years,"2023-24, Colorado: 2-4 years",Child
2023-24,AUG,1,201301,Delaware,0.0000049677,50-64 years,"2023-24, Delaware: 50-64 years",Adult
2023-24,AUG,1,203909,Mississippi,0.0000049041,13-17 years,"2023-24, Mississippi: 13-17 years",Child
2023-24,AUG,1,213250,Utah,0.0000046893,9-12 years,"2023-24, Utah: 9-12 years",Child
2023-24,AUG,1,223108,Kentucky,0.0000044821,9-12 years,"2023-24, Kentucky: 9-12 years",Child
2023-24,AUG,1,223181,Missouri,0.0000044807,2-4 years,"2023-24, Missouri: 2-4 years",Child
2023-24,AUG,1,253562,Indiana,0.0000039438,2-4 years,"2023-24, Indiana: 2-4 years",Child
2023-24,AUG,1,268337,Utah,0.0000037267,13-17 years,"2023-24, Utah: 13-17 years",Child
2023-24,AUG,1,275092,Wisconsin,0.0000036351,5-8 years,"2023-24, Wisconsin: 5-8 years",Child
2023-24,AUG,1,347351,Indiana,0.0000028789,5-8 years,"2023-24, Indiana: 5-8 years",Child
2023-24,AUG,1,387986,District of Columbia,0.0000025774,18-49 years,"2023-24, District of Columbia: 18-49 years",Adult
2023-24,AUG,1,417969,Ohio,0.0000023925,2-4 years,"2023-24, Ohio: 2-4 years",Child
2023-24,AUG,1,460217,Utah,0.0000021729,50-64 years,"2023-24, Utah: 50-64 years",Adult
2023-24,AUG,1,499955,Mississippi,0.0000020002,65+ years,"2023-24, Mississippi: 65+ years",Adult
2023-24,AUG,1,500397,Pennsylvania,0.0000019984,5-8 years,"2023-24, Pennsylvania (excluding Philadelphia County): 5-8 years",Child
2023-24,AUG,1,510181,Vermont,0.0000019601,18+ years,"2023-24, Vermont: 18+ years",Adult
2023-24,AUG,1,519316,Nevada,0.0000019256,65+ years,"2023-24, Nevada: 65+ years",Adult
2023-24,AUG,1,561642,Mississippi,0.0000017805,50-64 years,"2023-24, Mississippi: 50-64 years",Adult
2023-24,AUG,1,583228,District of Columbia,0.0000017146,18+ years,"2023-24, District of Columbia: 18+ years",Adult
2023-24,AUG,1,620682,Vermont,0.0000016111,Overall,"2023-24, Vermont: Overall",All
2023-24,AUG,1,653159,Oklahoma,0.000001531,65+ years,"2023-24, Oklahoma: 65+ years",Adult
2023-24,AUG,1,671415,North Carolina,0.0000014894,13-17 years,"2023-24, North Carolina: 13-17 years",Child
2023-24,AUG,1,672299,California,0.0000014874,6-23 months,"2023-24, California: 6-23 months",Child
2023-24,AUG,1,675423.5,Mississippi,0.0000014806,6 months to 17 years,"2023-24, Mississippi: 6 months to 17 years",Child
2023-24,AUG,1,679728,Nevada,0.0000014712,6 months to 17 years,"2023-24, Nevada: 6 months to 17 years",Child
2023-24,AUG,1,690870,West Virginia,0.0000014475,18-49 years,"2023-24, West Virginia: 18-49 years",Adult
2023-24,AUG,1,735062,Georgia,0.0000013604,13-17 years,"2023-24, Georgia: 13-17 years",Child
2023-24,AUG,1,742696,Philadelphia,0.0000013464,18-49 years,"2023-24, Philadelphia: 18-49 years",Adult
2023-24,AUG,1,758237,Connecticut,0.0000013188,50-64 years,"2023-24, Connecticut: 50-64 years",Adult
2023-24,AUG,1,782153,Delaware,0.0000012785,18+ years,"2023-24, Delaware: 18+ years",Adult
2023-24,AUG,1,1047935,Wisconsin,0.00000095426,65+ years,"2023-24, Wisconsin: 65+ years",Adult
2023-24,AUG,1,1227144.5,Wisconsin,0.0000008149,6 months to 17 years,"2023-24, Wisconsin: 6 months to 17 years",Child
2023-24,AUG,1,1278598,Indiana,0.00000078211,50-64 years,"2023-24, Indiana: 50-64 years",Adult
2023-24,AUG,1,1286583,Puerto Rico,0.00000077725,18-49 years,"2023-24, Puerto Rico: 18-49 years",Adult
2023-24,AUG,1,1321503,Arizona,0.00000075671,50-64 years,"2023-24, Arizona: 50-64 years",Adult
2023-24,AUG,1,1334197,Nevada,0.00000074951,18-49 years,"2023-24, Nevada: 18-49 years",Adult
2023-24,AUG,1,1415568,Washington,0.00000070643,50-64 years,"2023-24, Washington: 50-64 years",Adult
2023-24,AUG,1,1428520,West Virginia,0.00000070003,18+ years,"2023-24, West Virginia: 18+ years",Adult
2023-24,AUG,1,1605718.5,Arizona,0.00000062277,6 months to 17 years,"2023-24, Arizona: 6 months to 17 years",Child
2023-24,AUG,1,1776063.5,West Virginia,0.00000056304,Overall,"2023-24, West Virginia: Overall",All
2023-24,AUG,1,1926749,Louisiana,0.00000051901,18-49 years,"2023-24, Louisiana: 18-49 years",Adult
2023-24,AUG,1,1966287,California,0.00000050857,5-8 years,"2023-24, California: 5-8 years",Child
2023-24,AUG,1,2097638,Ohio,0.00000047673,65+ years,"2023-24, Ohio: 65+ years",Adult
2023-24,AUG,1,2247245.5,North Carolina,0.00000044499,6 months to 17 years,"2023-24, North Carolina: 6 months to 17 years",Child
2023-24,AUG,1,2314476,Ohio,0.00000043206,50-64 years,"2023-24, Ohio: 50-64 years",Adult
2023-24,AUG,1,2427133,Illinois,0.00000041201,50-64 years,"2023-24, Illinois: 50-64 years",Adult
