Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2023-09-30,23.0373,7.2912,241,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,October Week 2,2023-10-07,2.3419,0.5512,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,October Week 2,2023-10-07,2.3419,0.5512,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2023-10-07,26.7583,10.2328,200,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,2023-10-07,40.4305,10.139,200,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2023-10-07,30.4693,9.582,200,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,October Week 3,2023-10-14,2.3562,0.5518,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,October Week 3,2023-10-14,2.3562,0.5518,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2023-10-14,16.8011,8.7672,179,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,2023-10-14,36.8635,10.4543,179,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2023-10-14,43.9793,10.6267,179,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,October Week 4,2023-10-21,2.4416,0.5725,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,October Week 4,2023-10-21,2.4416,0.5725,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2023-10-21,19.6325,10.2968,155,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,2023-10-21,42.8895,12.4911,155,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2023-10-21,35.0365,12.2721,155,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,October Week 5,2023-10-28,2.4416,0.5725,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,October Week 5,2023-10-28,2.4416,0.5725,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,October Week 5,2023-10-28,16.1775,11.0649,137,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 5,2023-10-28,44.0936,12.2134,137,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 5,2023-10-28,37.2872,11.7745,137,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,November Week 1,2023-11-04,5.0636,1.0251,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,November Week 1,2023-11-04,5.0636,1.0251,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2023-11-04,14.2936,10.3316,119,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 1,2023-11-04,39.9834,13.3641,119,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2023-11-04,40.6594,13.4058,119,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,November Week 2,2023-11-11,5.1332,0.9927,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,November Week 2,2023-11-11,5.1332,0.9927,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2023-11-11,7.2051,5.5193,107,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 2,2023-11-11,46.6329,13.9297,107,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2023-11-11,41.0289,13.6865,107,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,November Week 3,2023-11-18,5.1772,0.9763,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,November Week 3,2023-11-18,5.1772,0.9763,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2023-11-18,12.5704,9.9949,148,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,2023-11-18,42.3634,12.158,148,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2023-11-18,39.8889,12.3423,148,0
COVID,National,National,Mother's Education,Less than high school,Up-to-date,Yes,November Week 4,2023-11-25,5.1772,0.9763,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Vaccinated,November Week 4,2023-11-25,5.1772,0.9763,8365,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2023-11-25,11.1261,6.3339,129,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 4,2023-11-25,46.6095,13.3692,129,0
COVID,National,National,Mother's Education,Less than high school,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2023-11-25,37.0871,12.994,129,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,October Week 1,2023-09-30,0.3477,0.4095,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,October Week 1,2023-09-30,0.3477,0.4095,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2023-09-30,17.109,4.4731,762,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 1,2023-09-30,29.8156,5.3516,762,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2023-09-30,52.7277,5.7576,762,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,October Week 2,2023-10-07,1.2171,0.2303,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,October Week 2,2023-10-07,1.2171,0.2303,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2023-10-07,20.942,4.3389,769,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,2023-10-07,28.8446,4.9178,769,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2023-10-07,48.9963,5.3922,769,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,October Week 3,2023-10-14,1.2482,0.2356,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,October Week 3,2023-10-14,1.2482,0.2356,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2023-10-14,25.5581,6.1087,595,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,2023-10-14,33.4145,6.212,595,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2023-10-14,39.7792,6.2783,595,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,October Week 4,2023-10-21,1.8799,0.683,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,October Week 4,2023-10-21,1.8799,0.683,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2023-10-21,14.1173,4.1034,644,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,2023-10-21,30.237,5.742,644,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2023-10-21,53.7658,6.2954,644,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,October Week 5,2023-10-28,3.3585,1.9814,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,October Week 5,2023-10-28,3.3585,1.9814,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,October Week 5,2023-10-28,17.0897,4.4367,605,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 5,2023-10-28,26.384,5.6649,605,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 5,2023-10-28,53.1678,6.2525,605,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,November Week 1,2023-11-04,3.9326,0.43,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,November Week 1,2023-11-04,3.9326,0.43,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2023-11-04,16.9821,4.9192,564,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 1,2023-11-04,29.8174,6.0435,564,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2023-11-04,49.2679,6.4925,564,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,November Week 2,2023-11-11,4.0833,0.5046,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,November Week 2,2023-11-11,4.0833,0.5046,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2023-11-11,17.8131,4.9301,634,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 2,2023-11-11,27.8941,6.0197,634,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2023-11-11,50.2095,6.5473,634,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,November Week 3,2023-11-18,4.9773,1.2844,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,November Week 3,2023-11-18,4.9773,1.2844,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2023-11-18,14.564,4.4315,550,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,2023-11-18,31.0631,6.7731,550,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2023-11-18,49.3955,7.0306,550,0
COVID,National,National,Mother's Education,Some college,Up-to-date,Yes,November Week 4,2023-11-25,4.9773,1.2844,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Vaccinated,November Week 4,2023-11-25,4.9773,1.2844,27011,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2023-11-25,16.2016,5.2756,477,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 4,2023-11-25,31.7074,7.0699,477,0
COVID,National,National,Mother's Education,Some college,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2023-11-25,47.1138,7.4634,477,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,October Week 1,2023-09-30,0.0503,0.0992,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 1,2023-09-30,0.0503,0.0992,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2023-09-30,39.5801,9.1545,312,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 1,2023-09-30,29.3852,8.461,312,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2023-09-30,30.9844,8.4492,312,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,October Week 2,2023-10-07,3.5337,0.5915,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 2,2023-10-07,3.5337,0.5915,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2023-10-07,32.3207,8.4219,321,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,2023-10-07,33.907,8.9271,321,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2023-10-07,30.2387,8.2198,321,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,October Week 3,2023-10-14,3.5816,0.5959,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 3,2023-10-14,3.5816,0.5959,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2023-10-14,36.2929,10.2573,244,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,2023-10-14,33.5239,10.1119,244,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2023-10-14,26.6016,8.9063,244,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,October Week 4,2023-10-21,7.5388,4.3599,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 4,2023-10-21,7.5388,4.3599,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2023-10-21,25.6348,10.2176,172,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,2023-10-21,34.1471,11.2282,172,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2023-10-21,32.6794,11.5312,172,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,October Week 5,2023-10-28,7.6771,4.3651,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 5,2023-10-28,7.6771,4.3651,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 5,2023-10-28,30.4134,11.0617,159,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 5,2023-10-28,27.5591,11.5169,159,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 5,2023-10-28,34.3504,12.2269,159,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,November Week 1,2023-11-04,12.9674,1.1291,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 1,2023-11-04,12.9674,1.1291,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2023-11-04,22.6536,7.7781,241,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 1,2023-11-04,27.041,8.5046,241,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2023-11-04,37.3381,8.9539,241,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,November Week 2,2023-11-11,13.8428,1.4122,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 2,2023-11-11,13.8428,1.4122,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2023-11-11,24.3291,8.3232,282,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 2,2023-11-11,29.2553,9.005,282,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2023-11-11,32.5729,8.9065,282,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,November Week 3,2023-11-18,14.9113,1.8926,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 3,2023-11-18,14.9113,1.8926,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2023-11-18,26.7028,8.428,331,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,2023-11-18,30.9413,8.3574,331,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2023-11-18,27.4445,7.9586,331,0
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,Yes,November Week 4,2023-11-25,17.4935,4.4097,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 4,2023-11-25,17.4935,4.4097,10535,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2023-11-25,22.1527,8.1667,262,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 4,2023-11-25,41.0563,10.1871,262,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2023-11-25,19.2975,7.5974,262,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,October Week 1,2023-09-30,0.1729,0.2477,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 1,2023-09-30,0.1729,0.2477,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2023-09-30,22.9062,7.4775,299,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 1,2023-09-30,43.1117,8.8185,299,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2023-09-30,33.8092,8.4244,299,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,October Week 2,2023-10-07,3.6759,1.7741,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 2,2023-10-07,3.6759,1.7741,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2023-10-07,28.4481,9.3478,197,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,2023-10-07,32.2411,9.5552,197,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2023-10-07,35.6349,9.5376,197,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,October Week 3,2023-10-14,3.9863,1.3746,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 3,2023-10-14,3.9863,1.3746,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2023-10-14,24.4641,10.0834,188,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,2023-10-14,38.8968,11.231,188,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2023-10-14,32.6529,11.1407,188,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,October Week 4,2023-10-21,3.9863,1.3746,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 4,2023-10-21,3.9863,1.3746,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2023-10-21,25.1324,10.5677,142,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,2023-10-21,28.274,10.6312,142,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2023-10-21,42.6073,12.5362,142,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,October Week 5,2023-10-28,4.5834,1.8097,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 5,2023-10-28,4.5834,1.8097,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 5,2023-10-28,20.4888,9.6496,114,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 5,2023-10-28,32.8613,11.1162,114,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 5,2023-10-28,42.0665,11.6012,114,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,November Week 1,2023-11-04,7.4832,0.9471,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 1,2023-11-04,7.4832,0.9471,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2023-11-04,15.8998,7.1696,175,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 1,2023-11-04,37.5632,10.4495,175,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2023-11-04,39.0538,10.5177,175,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,November Week 2,2023-11-11,7.5694,0.9718,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 2,2023-11-11,7.5694,0.9718,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2023-11-11,19.2153,7.6637,199,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 2,2023-11-11,31.8284,9.9428,199,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2023-11-11,41.3868,10.4449,199,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,November Week 3,2023-11-18,7.6405,0.9451,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 3,2023-11-18,7.6405,0.9451,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2023-11-18,19.2627,7.4973,228,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,2023-11-18,37.4102,9.3314,228,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2023-11-18,35.6867,9.1407,228,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,November Week 4,2023-11-25,7.6834,0.9489,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 4,2023-11-25,7.6834,0.9489,7240,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2023-11-25,11.5396,6.8925,210,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 4,2023-11-25,31.2364,9.7724,210,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2023-11-25,49.5406,11.1801,210,0
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,October Week 1,2023-09-30,0.2145,0.2881,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 1,2023-09-30,0.2145,0.2881,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2023-09-30,26.3962,6.1692,517,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 1,2023-09-30,35.0949,6.9119,517,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2023-09-30,38.2944,7.2274,517,0
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,October Week 2,2023-10-07,2.7628,0.8103,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 2,2023-10-07,2.7628,0.8103,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2023-10-07,31.6609,6.9683,490,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,2023-10-07,29.9946,6.7204,490,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2023-10-07,35.5818,7.3544,490,0
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,October Week 3,2023-10-14,4.6469,1.8069,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 3,2023-10-14,4.6469,1.8069,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2023-10-14,28.2785,7.5613,343,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,2023-10-14,32.8427,8.3839,343,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2023-10-14,34.2319,8.3878,343,0
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,October Week 4,2023-10-21,6.4634,2.3727,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 4,2023-10-21,6.4634,2.3727,19160,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2023-10-21,29.7348,9.0585,341,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,2023-10-21,32.6886,8.4912,341,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2023-10-21,31.1132,8.1322,341,0
