vaccine,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,month_week,curr_week_ending,prev_week_ending,curr_season,prev_season,curr_est,past_est,curr_ci_halfwidth_95pct,past_ci_halfwidth_95pct,difference_estimate,significance,curr_ci_95,past_ci_95,diff_ci_95,difference_indicator,estimate,binrangetext,binrangeorder
COVID,Substate,Pennsylvania-Philadelphia County,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,4.1,2.9,1.4787,1.2823,1.2655,1.9573,2.7 to 5.6,1.6 to 4.2,-0.7 to 3.2,Similar to Last Season,0.0414,4.0 - 5.6,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,9.3,11,2.1432,1.5377,-1.7276,2.6378,7.1 to 11.4,9.5 to 12.5,-4.4 to 0.9,Similar to Last Season,0.0928,7.3 - 9.7,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,9.3,11,2.1432,1.5377,-1.7276,2.6378,7.1 to 11.4,9.5 to 12.5,-4.4 to 0.9,Similar to Last Season,0.0928,9.0 - 11.5,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 2,2024-12-14,2023-12-16,2024-2025,2023-2024,9.3,11,2.1432,1.5377,-1.7276,2.6378,7.1 to 11.4,9.5 to 12.5,-4.4 to 0.9,Similar to Last Season,0.0928,9.2 - 11.8,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 3,2024-12-21,2023-12-23,2024-2025,2023-2024,10.7,11,2.5019,1.5377,-0.259,2.9367,8.2 to 13.2,9.5 to 12.5,-3.2 to 2.7,Similar to Last Season,0.1075,9.2 - 11.8,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 4,2024-12-28,2023-12-30,2024-2025,2023-2024,10.7,11,2.5019,1.5377,-0.259,2.9367,8.2 to 13.2,9.5 to 12.5,-3.2 to 2.7,Similar to Last Season,0.1075,9.2 - 11.8,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 1,2025-01-04,2024-01-06,2024-2025,2023-2024,10.7,11,2.5019,1.5377,-0.259,2.9367,8.2 to 13.2,9.5 to 12.5,-3.2 to 2.7,Similar to Last Season,0.1075,10.2 - 12.2,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.7,11,2.5019,1.5377,-0.259,2.9367,8.2 to 13.2,9.5 to 12.5,-3.2 to 2.7,Similar to Last Season,0.1075,10.2 - 12.2,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,10.7,11.7,2.5019,1.588,-0.9087,2.9633,8.2 to 13.2,10.1 to 13.2,-3.9 to 2.1,Similar to Last Season,0.1075,10.2 - 12.2,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,10.7,11.7,2.5019,1.588,-0.9087,2.9633,8.2 to 13.2,10.1 to 13.2,-3.9 to 2.1,Similar to Last Season,0.1075,10.2 - 12.2,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,7.9,7.6,1.8951,1.2468,0.2967,2.2685,6.0 to 9.8,6.3 to 8.8,-2.0 to 2.6,Similar to Last Season,0.0789,6.7 - 8.3,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,7.9,8.1,1.8951,1.4552,-0.1752,2.3894,6.0 to 9.8,6.6 to 9.5,-2.6 to 2.2,Similar to Last Season,0.0789,6.9 - 8.8,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,8.7,8.1,2.2015,1.4524,0.6098,2.6374,6.5 to 10.9,6.7 to 9.6,-2.0 to 3.2,Similar to Last Season,0.0872,7.2 - 9.0,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,9.3,8.1,2.1432,1.4524,1.1704,2.589,7.1 to 11.4,6.7 to 9.6,-1.4 to 3.8,Similar to Last Season,0.0928,7.3 - 9.4,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.9,1.8,2.5506,0.5905,2.1179,2.6181,1.4 to 6.5,1.2 to 2.4,-0.5 to 4.7,Similar to Last Season,0.0394,3.2 - 3.9,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.9,1.8,2.5506,0.5905,2.1179,2.6181,1.4 to 6.5,1.2 to 2.4,-0.5 to 4.7,Similar to Last Season,0.0394,3.5 - 4.1,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,4.4,1.8,2.3643,0.5905,2.6275,2.4369,2.1 to 6.8,1.2 to 2.4,0.2 to 5.1,Higher than Last Season,0.0445,3.9 - 5.1,3
COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,5.3,1.8,2.8493,0.5905,3.4371,2.9098,2.4 to 8.1,1.2 to 2.4,0.5 to 6.3,Higher than Last Season,0.0526,4.0 - 5.6,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.4,8.1,1.797,1.6385,-1.728,2.4318,4.6 to 8.2,6.5 to 9.7,-4.2 to 0.7,Similar to Last Season,0.0636,5.3 - 7.2,2
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,10.1,8.1,2.9216,1.6385,2.0211,3.3497,7.2 to 13.0,6.5 to 9.7,-1.3 to 5.4,Similar to Last Season,0.1011,9.0 - 11.5,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,December Week 2,2024-12-14,2023-12-16,2024-2025,2023-2024,10.1,8.1,2.9216,1.6385,2.0211,3.3497,7.2 to 13.0,6.5 to 9.7,-1.3 to 5.4,Similar to Last Season,0.1011,9.2 - 11.8,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,December Week 3,2024-12-21,2023-12-23,2024-2025,2023-2024,10.4,8.1,2.9613,1.6385,2.267,3.3844,7.4 to 13.3,6.5 to 9.7,-1.1 to 5.7,Similar to Last Season,0.1036,9.2 - 11.8,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,December Week 4,2024-12-28,2023-12-30,2024-2025,2023-2024,10.4,9.9,2.9613,1.8562,0.4289,3.495,7.4 to 13.3,8.1 to 11.8,-3.1 to 3.9,Similar to Last Season,0.1036,9.2 - 11.8,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,January Week 1,2025-01-04,2024-01-06,2024-2025,2023-2024,10.5,9.9,2.9807,1.8562,0.5749,3.5114,7.5 to 13.5,8.1 to 11.8,-2.9 to 4.1,Similar to Last Season,0.1051,10.2 - 12.2,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.5,9.9,2.9807,1.8562,0.5749,3.5114,7.5 to 13.5,8.1 to 11.8,-2.9 to 4.1,Similar to Last Season,0.1051,10.2 - 12.2,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,10.5,9.9,2.9807,1.8562,0.5749,3.5114,7.5 to 13.5,8.1 to 11.8,-2.9 to 4.1,Similar to Last Season,0.1051,10.2 - 12.2,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,11.9,9.9,4.0816,1.8562,1.9931,4.4839,7.8 to 16.0,8.1 to 11.8,-2.5 to 6.5,Similar to Last Season,0.1192,10.2 - 12.2,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.4,5.4,1.797,1.2914,0.9558,2.2129,4.6 to 8.2,4.1 to 6.7,-1.3 to 3.2,Similar to Last Season,0.0636,4.9 - 6.6,2
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,6.4,5.4,1.797,1.2914,0.9558,2.2129,4.6 to 8.2,4.1 to 6.7,-1.3 to 3.2,Similar to Last Season,0.0636,4.9 - 6.8,2
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,6.4,8.1,1.797,4.6886,-1.6982,5.0212,4.6 to 8.2,3.4 to 12.8,-6.7 to 3.3,Similar to Last Season,0.0636,4.9 - 7.1,2
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,6.4,8.1,1.797,4.6886,-1.6982,5.0212,4.6 to 8.2,3.4 to 12.8,-6.7 to 3.3,Similar to Last Season,0.0636,5.2 - 7.2,2
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,4.1,1.3,1.5171,0.5468,2.7814,1.6126,2.6 to 5.6,0.8 to 1.9,1.2 to 4.4,Higher than Last Season,0.0412,4.0 - 4.9,4
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,4.1,1.9,1.5171,1.0139,2.1946,1.8247,2.6 to 5.6,0.9 to 2.9,0.4 to 4.0,Higher than Last Season,0.0412,3.5 - 4.1,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,4.2,1.9,1.4784,1.0139,2.2501,1.7927,2.7 to 5.7,0.9 to 2.9,0.5 to 4.0,Higher than Last Season,0.0418,3.9 - 5.1,3
COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,4.7,1.9,1.7875,1.0139,2.7601,2.055,2.9 to 6.5,0.9 to 2.9,0.7 to 4.8,Higher than Last Season,0.0469,4.0 - 5.6,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.8,7.6,1.7379,1.6231,-0.8366,2.378,5.1 to 8.5,6.0 to 9.3,-3.2 to 1.5,Similar to Last Season,0.068,5.3 - 7.2,2
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,9.6,7.6,2.2003,1.6231,1.9804,2.7342,7.4 to 11.8,6.0 to 9.3,-0.8 to 4.7,Similar to Last Season,0.0962,9.0 - 11.5,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,December Week 2,2024-12-14,2023-12-16,2024-2025,2023-2024,9.6,7.6,2.2003,1.6231,1.9804,2.7342,7.4 to 11.8,6.0 to 9.3,-0.8 to 4.7,Similar to Last Season,0.0962,9.2 - 11.8,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,December Week 3,2024-12-21,2023-12-23,2024-2025,2023-2024,9.6,7.6,2.1991,1.6231,2.0096,2.7332,7.4 to 11.8,6.0 to 9.3,-0.7 to 4.7,Similar to Last Season,0.0965,9.2 - 11.8,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,December Week 4,2024-12-28,2023-12-30,2024-2025,2023-2024,9.6,7.6,2.1991,1.6231,2.0096,2.7332,7.4 to 11.8,6.0 to 9.3,-0.7 to 4.7,Similar to Last Season,0.0965,9.2 - 11.8,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,January Week 1,2025-01-04,2024-01-06,2024-2025,2023-2024,10.2,9.3,2.3233,1.8069,0.8252,2.9432,7.8 to 12.5,7.5 to 11.1,-2.1 to 3.8,Similar to Last Season,0.1015,10.2 - 12.2,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,10.2,9.3,2.3233,1.8069,0.8252,2.9432,7.8 to 12.5,7.5 to 11.1,-2.1 to 3.8,Similar to Last Season,0.1015,10.2 - 12.2,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,10.2,9.3,2.3233,1.8069,0.8252,2.9432,7.8 to 12.5,7.5 to 11.1,-2.1 to 3.8,Similar to Last Season,0.1015,10.2 - 12.2,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,10.2,9.3,2.3233,1.8069,0.8252,2.9432,7.8 to 12.5,7.5 to 11.1,-2.1 to 3.8,Similar to Last Season,0.1015,10.2 - 12.2,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.7,5.7,1.7227,1.4421,0.9676,2.2466,4.9 to 8.4,4.3 to 7.1,-1.3 to 3.2,Similar to Last Season,0.0667,6.7 - 8.3,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,6.8,6.6,1.738,2.2855,0.2003,2.8713,5.0 to 8.5,4.3 to 8.9,-2.7 to 3.1,Similar to Last Season,0.0678,4.9 - 6.8,2
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,6.8,6.6,1.7379,2.2855,0.2121,2.8712,5.1 to 8.5,4.3 to 8.9,-2.7 to 3.1,Similar to Last Season,0.068,4.9 - 7.1,2
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,6.8,7.6,1.7379,1.6231,-0.8366,2.378,5.1 to 8.5,6.0 to 9.3,-3.2 to 1.5,Similar to Last Season,0.068,5.2 - 7.2,2
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.6,1.5,1.1677,0.6493,2.0483,1.3361,2.4 to 4.7,0.9 to 2.2,0.7 to 3.4,Higher than Last Season,0.0357,3.2 - 3.9,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.6,1.5,1.1677,0.6493,2.0483,1.3361,2.4 to 4.7,0.9 to 2.2,0.7 to 3.4,Higher than Last Season,0.0357,3.5 - 4.1,3
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,3.6,1.5,1.1677,0.6493,2.0483,1.3361,2.4 to 4.7,0.9 to 2.2,0.7 to 3.4,Higher than Last Season,0.0357,2.8 - 3.8,2
COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,3.6,1.5,1.1677,0.6493,2.0483,1.3361,2.4 to 4.7,0.9 to 2.2,0.7 to 3.4,Higher than Last Season,0.0357,2.8 - 3.9,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,7.2,7.4,2.187,1.1747,-0.1723,2.4825,5.0 to 9.4,6.2 to 8.5,-2.7 to 2.3,Similar to Last Season,0.072,7.3 - 9.7,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,8.5,7.4,2.3289,1.1747,1.1577,2.6084,6.2 to 10.9,6.2 to 8.5,-1.5 to 3.8,Similar to Last Season,0.0853,6.2 - 8.9,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 2,2024-12-14,2023-12-16,2024-2025,2023-2024,8.5,8.1,2.3289,1.7055,0.4642,2.8866,6.2 to 10.9,6.4 to 9.8,-2.4 to 3.4,Similar to Last Season,0.0853,6.2 - 9.1,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 3,2024-12-21,2023-12-23,2024-2025,2023-2024,8.5,8.1,2.3289,1.7055,0.4642,2.8866,6.2 to 10.9,6.4 to 9.8,-2.4 to 3.4,Similar to Last Season,0.0853,6.5 - 9.1,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,December Week 4,2024-12-28,2023-12-30,2024-2025,2023-2024,8.5,8.1,2.3289,1.7055,0.4642,2.8866,6.2 to 10.9,6.4 to 9.8,-2.4 to 3.4,Similar to Last Season,0.0853,6.5 - 9.1,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 1,2025-01-04,2024-01-06,2024-2025,2023-2024,11.1,8.1,3.3679,1.2318,2.9698,3.5861,7.7 to 14.5,6.9 to 9.4,-0.6 to 6.6,Similar to Last Season,0.111,10.2 - 12.2,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 2,2025-01-11,2024-01-13,2024-2025,2023-2024,11.1,8.4,3.3679,1.344,2.6952,3.6262,7.7 to 14.5,7.1 to 9.8,-0.9 to 6.3,Similar to Last Season,0.111,10.2 - 12.2,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 3,2025-01-18,2024-01-20,2024-2025,2023-2024,11.1,8.4,3.3679,1.3406,2.6558,3.6249,7.7 to 14.5,7.1 to 9.8,-1.0 to 6.3,Similar to Last Season,0.111,10.2 - 12.2,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,11.1,8.4,3.3679,1.3406,2.6558,3.6249,7.7 to 14.5,7.1 to 9.8,-1.0 to 6.3,Similar to Last Season,0.111,10.2 - 12.2,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,6.4,5.1,1.9429,0.9532,1.2385,2.1641,4.4 to 8.3,4.2 to 6.1,-0.9 to 3.4,Similar to Last Season,0.0638,4.9 - 6.6,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,7.2,5.1,2.4657,0.9532,2.0167,2.6435,4.7 to 9.6,4.2 to 6.1,-0.6 to 4.7,Similar to Last Season,0.0716,6.9 - 8.8,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,7.2,7.4,2.187,1.1747,-0.1723,2.4825,5.0 to 9.4,6.2 to 8.5,-2.7 to 2.3,Similar to Last Season,0.072,7.2 - 9.0,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,7.2,7.4,2.187,1.1747,-0.1723,2.4825,5.0 to 9.4,6.2 to 8.5,-2.7 to 2.3,Similar to Last Season,0.072,7.3 - 9.4,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.3,1.4,1.2887,0.4788,1.8773,1.3748,2.0 to 4.6,0.9 to 1.9,0.5 to 3.3,Higher than Last Season,0.0329,3.2 - 3.9,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,3.4,1.4,1.3171,0.4788,2.0155,1.4014,2.1 to 4.7,0.9 to 1.9,0.6 to 3.4,Higher than Last Season,0.0343,3.5 - 4.1,3
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,3.4,1.8,1.317,0.8223,1.6463,1.5526,2.1 to 4.8,1.0 to 2.6,0.1 to 3.2,Higher than Last Season,0.0344,2.8 - 3.8,2
COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,3.4,1.8,1.317,0.8223,1.6463,1.5526,2.1 to 4.8,1.0 to 2.6,0.1 to 3.2,Higher than Last Season,0.0344,2.8 - 3.9,2
COVID,State,Virginia,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,16,14.3,3.3731,1.7028,1.7568,3.7785,12.6 to 19.4,12.5 to 16.0,-2.0 to 5.5,Similar to Last Season,0.1601,15.2 - 33.6,5
COVID,State,Washington,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,19.8,18.8,5.4849,2.7977,0.9179,6.1572,14.3 to 25.2,16.0 to 21.6,-5.2 to 7.1,Similar to Last Season,0.1976,15.2 - 33.6,5
COVID,State,West Virginia,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,4.9,7.2,1.7698,1.4976,-2.3472,2.3184,3.1 to 6.7,5.7 to 8.7,-4.7 to 0.0,Lower than Last Season,0.0489,2.7 - 6.7,1
COVID,State,Wisconsin,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,12.2,14.4,3.8666,2.7436,-2.2133,4.7411,8.3 to 16.1,11.7 to 17.2,-7.0 to 2.5,Similar to Last Season,0.1221,10.2 - 12.2,3
COVID,State,Wyoming,Overall,6 months-17 years,Up-to-date,January Week 4,2025-01-25,2024-01-27,2024-2025,2023-2024,9.3,8.7,4.6083,2.0774,0.6415,5.0549,4.7 to 14.0,6.6 to 10.8,-4.4 to 5.7,Similar to Last Season,0.0935,6.8 - 10.1,2
COVID,National,National,Age,12-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,14.6,15.9,1.3565,0.6973,-1.3632,1.5252,13.2 to 15.9,15.2 to 16.6,-2.9 to 0.2,Similar to Last Season,0.1458,13.4 - 15.4,4
COVID,National,National,Age,5-11 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,13.7,13.7,1.4158,0.5731,0.0159,1.5274,12.3 to 15.1,13.1 to 14.2,-1.5 to 1.5,Similar to Last Season,0.1368,13.4 - 15.4,4
COVID,National,National,Age,5-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,14.1,14.9,1.0047,0.4603,-0.7601,1.1051,13.1 to 15.1,14.4 to 15.3,-1.9 to 0.3,Similar to Last Season,0.1412,13.4 - 15.4,4
COVID,National,National,Age,6 months-4 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,5.2,5.5,0.7114,0.4399,-0.3709,0.8364,4.4 to 5.9,5.1 to 6.0,-1.2 to 0.5,Similar to Last Season,0.0516,2.7 - 7.3,1
COVID,National,National,Age,6-23 months,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,4,4.2,1.2007,0.7426,-0.1568,1.4118,2.8 to 5.2,3.5 to 4.9,-1.6 to 1.3,Similar to Last Season,0.0405,2.7 - 7.3,1
COVID,National,National,Mother's Education,>= College degree,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,17,18.3,1.0599,0.6187,-1.2256,1.2273,16.0 to 18.1,17.6 to 18.9,-2.5 to 0.0,Similar to Last Season,0.1703,15.5 - 34.6,5
COVID,National,National,Mother's Education,High school or equivalent,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,7.7,6.7,2.2973,0.6524,0.952,2.3881,5.4 to 10.0,6.1 to 7.4,-1.4 to 3.3,Similar to Last Season,0.077,7.4 - 10.4,2
COVID,National,National,Mother's Education,Less than high school,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,9.5,11.5,3.2381,1.3864,-1.9653,3.5224,6.3 to 12.7,10.1 to 12.9,-5.5 to 1.6,Similar to Last Season,0.0951,7.4 - 10.4,2
COVID,National,National,Mother's Education,Some college,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,6,7.1,0.9582,0.5895,-1.037,1.125,5.1 to 7.0,6.5 to 7.6,-2.2 to 0.1,Similar to Last Season,0.0602,2.7 - 7.3,1
COVID,National,National,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,12,12.7,0.7946,0.3657,-0.6994,0.8747,11.2 to 12.8,12.4 to 13.1,-1.6 to 0.2,Similar to Last Season,0.1204,10.5 - 13.3,3
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,12.3,13.1,3.2364,1.2567,-0.8069,3.4718,9.1 to 15.6,11.9 to 14.4,-4.3 to 2.7,Similar to Last Season,0.1231,10.5 - 13.3,3
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,15.8,15.4,2.0434,0.9097,0.3726,2.2367,13.7 to 17.8,14.5 to 16.3,-1.9 to 2.6,Similar to Last Season,0.1577,15.5 - 34.6,5
COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,6.6,8,1.2826,0.6539,-1.3485,1.4397,5.3 to 7.9,7.3 to 8.6,-2.8 to 0.1,Similar to Last Season,0.0662,2.7 - 7.3,1
COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,13.7,14,1.5832,0.8966,-0.335,1.8195,12.1 to 15.3,13.1 to 14.9,-2.2 to 1.5,Similar to Last Season,0.137,13.4 - 15.4,4
COVID,Region,Region 6,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,8.8,8.8,1.2968,0.6665,0.0479,1.4581,7.5 to 10.1,8.1 to 9.4,-1.4 to 1.5,Similar to Last Season,0.088,7.4 - 10.4,2
COVID,Region,Region 7,Overall,6 months-17 years,Up-to-date,February Week 1,2025-02-01,2024-02-03,2024-2025,2023-2024,11.8,11.5,2.291,1.2311,0.3382,2.6008,9.5 to 14.1,10.3 to 12.7,-2.3 to 2.9,Similar to Last Season,0.1183,10.5 - 13.3,3
